Table A.2
Molecular Features

   H_{2} 1-0

4712.9   S1

      CN 0-2

4891.417 R_{2} head

      CN 2-4

4363.710 R_{1}56.5
4366.449 Q_{2}43.5
4368.817 Q_{1}43.5
4371.445 P_{2}33.5
4372.562 R_{2}55.5
4377.002 R_{1}55.5
4381.375 Q_{1}42.5                     
4383.811 P_{1}32.5
4384.949 P_{2}32.5
4385.972 R_{2}54.5
4389.996 R_{1}54.5
4392.297 Q_{2}41.5
4393.650 Q_{1}41.5
4398.180 P_{2}31.5
4399.090 R_{2}53.5
4402.692 R_{1}53.5
4404.783 Q_{2}40.5
4405.620 Q_{1}40.5
4408.636 P_{1}30.5
4411.124 P_{2}30.5
4415.090 R_{1}52.5
4423.794 P_{2}29.5
4424.445 R_{2}51.5
4428.672 Q_{1}38.5
4428.917 Q_{2}38.5
4432.268 P_{1}28.5
4438.990 R_{1}50.5
4439.757 Q_{1}37.5
4443.632 P_{1}27.5
4451.915 Q_{2}36.5
4454.682 P_{1}26.5
4460.142 P_{2}26.5
4460.277 R_{2}48.5
4461.010 Q_{1}35.5
4461.694 R_{1}48.5
4462.972 Q_{2}35.5
4465.426 P_{1}25.5
4471.198 Q_{1}34.5                     
4471.671 blend
4472.592 R_{1}47.5                     
4473.764 Q_{2}34.5
4475.864 P_{1}24.5
4483.197 R_{1}46.5
4484.258 Q_{2}33.5                     
4485.991 P_{1}23.5
4490.662 Q_{1}32.5
4493.481 blend
4494.467 Q_{2}32.5                     
4495.803 P_{1}22.5
4499.936 Q_{1}31.5
4503.947 R_{2}44.5
4504.400 Q_{2}31.5
4504.761 P_{2}22.5
4505.301 P_{1}21.5
4508.913 Q_{1}30.5
4513.196 R_{1}43.5
4514.486 P_{1}20.5                     
4515.233 P_{2}21.5
4517.581 Q_{1}29.5
4522.591 R_{1}42.5
4523.379 blend
4524.021 R_{2}42.5
4525.947 Q_{1}28.5
4531.688 R_{1}41.5
4531.890 P_{1}18.5
4535.385 P_{2}19.5
4540.480 R_{1}40.5
4541.286 Q_{2}27.5
4541.755 Q_{1}26.5
4542.921 R_{2}40.5
4545.059 P_{2}18.5
4547.993 P_{1}16.5
4548.970 R_{1}39.5
4549.197 Q_{1}25.5
4551.939 R_{2}39.5
4554.470 P_{2}17.5
4555.525 P_{1}15.5
4556.326 Q_{1}24.5
4557.153 R_{1}38.5
4558.032 Q_{2}25.5
4560.656 R_{2}38.5
4562.767 P_{1}14.5                     
4563.151 Q_{1}23.5
4563.628 P_{2}16.5
4565.035 R_{1}37.5
4569.084 R_{2}37.5                     
4572.571 blend
4573.692 Q_{2}23.5
4576.181 P_{1}12.5
4577.233 R_{2}36.5
4579.881 R_{1}35.5
4581.138 blend
4581.723 Q_{1}20.5
4582.387 P_{1}11.5                 
4585.056 R_{2}35.5
4586.890 R_{1}34.5
4587.274 Q_{1}19.5
4593.521 R_{1}33.5
4593.671 P_{1}9.5                      
4595.095 Q_{2}20.5
4597.415 Q_{1}17.5
4597.719 P_{2}12.5
4598.779 P_{1}8.5
4599.870 blend
4601.686 Q_{2}19.5
