           0.9800  1.0000
          -0.97   -0.43  
 4503.420  0.9656  0.9336
 4503.440  0.9682  0.9359
 4503.460  0.9641  0.9455
 4503.480  0.9556  0.9592
 4503.500  0.9494  0.9732
 4503.520  0.9495  0.9837
 4503.540  0.9541  0.9865
 4503.560  0.9575  0.9819
 4503.580  0.9574  0.9771
 4503.600  0.9552  0.9782
 4503.620  0.9515  0.9849
 4503.640  0.9463  0.9907
 4503.660  0.9405  0.9890
 4503.680  0.9367  0.9830
 4503.700  0.9384  0.9827
 4503.720  0.9447  0.9920
 4503.740  0.9497  1.0030
 4503.760  0.9486  1.0032
 4503.780  0.9423  0.9919
 4503.800  0.9361  0.9774
 4503.820  0.9349  0.9629
 4503.840  0.9385  0.9481
 4503.860  0.9441  0.9290
 4503.880  0.9499  0.8986
 4503.900  0.9564  0.8668
 4503.920  0.9656  0.8518
 4503.940  0.9765  0.8550
 4503.960  0.9851  0.8695
 4503.980  0.9888  0.8920
 4504.000  0.9872  0.9184
 4504.020  0.9820  0.9446
 4504.040  0.9763  0.9681
 4504.060  0.9718  0.9841
 4504.080  0.9689  0.9884
 4504.100  0.9675  0.9814
 4504.120  0.9649  0.9706
 4504.140  0.9586  0.9698
 4504.160  0.9498  0.9834
 4504.180  0.9431  1.0013
 4504.200  0.9439  1.0094
 4504.220  0.9530  1.0008
 4504.240  0.9642  0.9800
 4504.260  0.9691  0.9582
 4504.280  0.9641  0.9410
 4504.300  0.9516  0.9229
 4504.320  0.9386  0.9045
 4504.340  0.9319  0.8959
 4504.360  0.9320  0.8977
 4504.380  0.9318  0.9012
 4504.400  0.9223  0.9029
 4504.420  0.9003  0.9037
 4504.440  0.8723  0.9053
 4504.460  0.8527  0.9135
 4504.480  0.8531  0.9347
 4504.500  0.8737  0.9643
 4504.520  0.9037  0.9862
 4504.540  0.9294  0.9892
 4504.560  0.9436  0.9753
 4504.580  0.9490  0.9556
 4504.600  0.9512  0.9445
 4504.620  0.9533  0.9483
 4504.640  0.9565  0.9597
 4504.660  0.9631  0.9701
 4504.680  0.9761  0.9791
 4504.700  0.9934  0.9877
 4504.720  1.0054  0.9867
 4504.740  1.0009  0.9671
 4504.760  0.9781  0.9319
 4504.780  0.9473  0.8900
 4504.800  0.9245  0.8555
 4504.820  0.9173  0.8442
 4504.840  0.9179  0.8580
 4504.860  0.9126  0.8851
 4504.880  0.8969  0.9120
 4504.900  0.8776  0.9293
 4504.920  0.8659  0.9366
 4504.940  0.8703  0.9392
 4504.960  0.8894  0.9401
 4504.980  0.9131  0.9428
 4505.000  0.9311  0.9507
 4505.020  0.9386  0.9588
 4505.040  0.9366  0.9577
 4505.060  0.9306  0.9492
 4505.080  0.9261  0.9406
 4505.100  0.9238  0.9330
 4505.120  0.9206  0.9242
 4505.140  0.9146  0.9134
 4505.160  0.9092  0.9014
 4505.180  0.9134  0.8959
 4505.200  0.9335  0.9076
 4505.220  0.9614  0.9345
 4505.240  0.9791  0.9609
 4505.260  0.9736  0.9744
 4505.280  0.9466  0.9720
 4505.300  0.9125  0.9599
 4505.320  0.8865  0.9517
 4505.340  0.8725  0.9554
 4505.360  0.8653  0.9697
 4505.380  0.8613  0.9882
 4505.400  0.8613  0.9999
 4505.420  0.8674  0.9977
 4505.440  0.8796  0.9909
 4505.460  0.8957  0.9929
 4505.480  0.9144  1.0035
 4505.500  0.9359  1.0107
 4505.520  0.9565  1.0048
 4505.540  0.9674  0.9868
 4505.560  0.9606  0.9632
 4505.580  0.9385  0.9447
 4505.600  0.9158  0.9429
 4505.620  0.9086  0.9516
 4505.640  0.9187  0.9519
 4505.660  0.9333  0.9398
 4505.680  0.9376  0.9217
 4505.700  0.9248  0.8992
 4505.720  0.9036  0.8738
 4505.740  0.8887  0.8508
 4505.760  0.8863  0.8413
 4505.780  0.8935  0.8575
 4505.800  0.9071  0.8952
 4505.820  0.9239  0.9330
 4505.840  0.9406  0.9477
 4505.860  0.9533  0.9332
 4505.880  0.9589  0.9099
 4505.900  0.9607  0.9011
 4505.920  0.9667  0.9085
 4505.940  0.9813  0.9212
 4505.960  1.0005  0.9325
 4505.980  1.0150  0.9426
 4506.000  1.0166  0.9549
 4506.020  1.0036  0.9705
 4506.040  0.9815  0.9843
 4506.060  0.9600  0.9877
 4506.080  0.9484  0.9806
 4506.100  0.9498  0.9761
 4506.120  0.9603  0.9830
 4506.140  0.9715  0.9940
 4506.160  0.9744  1.0003
 4506.180  0.9629  0.9979
 4506.200  0.9382  0.9831
 4506.220  0.9088  0.9595
 4506.240  0.8856  0.9403
 4506.260  0.8752  0.9300
 4506.280  0.8773  0.9186
 4506.300  0.8870  0.8998
 4506.320  0.8975  0.8794
 4506.340  0.9021  0.8662
 4506.360  0.8981  0.8643
 4506.380  0.8881  0.8740
 4506.400  0.8780  0.8923
 4506.420  0.8721  0.9150
 4506.440  0.8727  0.9379
 4506.460  0.8811  0.9563
 4506.480  0.8975  0.9671
 4506.500  0.9206  0.9702
 4506.520  0.9458  0.9683
 4506.540  0.9661  0.9677
 4506.560  0.9770  0.9737
 4506.580  0.9806  0.9844
 4506.600  0.9833  0.9929
 4506.620  0.9874  0.9968
 4506.640  0.9871  0.9976
 4506.660  0.9770  0.9957
 4506.680  0.9606  0.9941
 4506.700  0.9477  0.9956
 4506.720  0.9458  0.9945
 4506.740  0.9539  0.9835
 4506.760  0.9627  0.9631
 4506.780  0.9620  0.9455
 4506.800  0.9474  0.9428
 4506.820  0.9230  0.9516
 4506.840  0.8973  0.9601
 4506.860  0.8788  0.9617
 4506.880  0.8713  0.9569
 4506.900  0.8743  0.9505
 4506.920  0.8840  0.9501
 4506.940  0.8956  0.9587
 4506.960  0.9066  0.9672
 4506.980  0.9197  0.9652
 4507.000  0.9368  0.9534
 4507.020  0.9531  0.9377
 4507.040  0.9596  0.9219
 4507.060  0.9538  0.9119
 4507.080  0.9456  0.9120
 4507.100  0.9495  0.9181
 4507.120  0.9669  0.9241
 4507.140  0.9839  0.9292
 4507.160  0.9873  0.9356
 4507.180  0.9750  0.9443
 4507.200  0.9574  0.9522
 4507.220  0.9474  0.9537
 4507.240  0.9464  0.9509
 4507.260  0.9452  0.9557
 4507.280  0.9376  0.9703
 4507.300  0.9285  0.9808
 4507.320  0.9292  0.9798
 4507.340  0.9431  0.9728
 4507.360  0.9580  0.9677
 4507.380  0.9593  0.9703
 4507.400  0.9478  0.9793
 4507.420  0.9360  0.9877
 4507.440  0.9354  0.9846
 4507.460  0.9462  0.9681
 4507.480  0.9568  0.9536
 4507.500  0.9589  0.9514
 4507.520  0.9558  0.9572
 4507.540  0.9543  0.9647
 4507.560  0.9559  0.9686
 4507.580  0.9546  0.9667
 4507.600  0.9460  0.9643
 4507.620  0.9349  0.9640
 4507.640  0.9291  0.9612
 4507.660  0.9306  0.9546
 4507.680  0.9351  0.9473
 4507.700  0.9367  0.9417
 4507.720  0.9341  0.9376
 4507.740  0.9333  0.9329
 4507.760  0.9414  0.9294
 4507.780  0.9573  0.9353
 4507.800  0.9718  0.9514
 4507.820  0.9745  0.9647
 4507.840  0.9624  0.9690
 4507.860  0.9434  0.9754
 4507.880  0.9286  0.9841
 4507.900  0.9244  0.9837
 4507.920  0.9325  0.9814
 4507.940  0.9504  0.9875
 4507.960  0.9704  0.9899
 4507.980  0.9852  0.9797
 4508.000  0.9920  0.9666
 4508.020  0.9904  0.9582
 4508.040  0.9810  0.9522
 4508.060  0.9683  0.9433
 4508.080  0.9585  0.9282
 4508.100  0.9548  0.9098
 4508.120  0.9549  0.8952
 4508.140  0.9540  0.8882
 4508.160  0.9482  0.8896
 4508.180  0.9381  0.9022
 4508.200  0.9290  0.9271
 4508.220  0.9271  0.9585
 4508.240  0.9338  0.9863
 4508.260  0.9445  1.0001
 4508.280  0.9530  0.9987
 4508.300  0.9579  0.9911
 4508.320  0.9615  0.9826
 4508.340  0.9645  0.9734
 4508.360  0.9646  0.9669
 4508.380  0.9612  0.9662
 4508.400  0.9574  0.9702
 4508.420  0.9576  0.9762
 4508.440  0.9635  0.9792
 4508.460  0.9704  0.9711
 4508.480  0.9724  0.9518
 4508.500  0.9694  0.9353
 4508.520  0.9670  0.9364
 4508.540  0.9693  0.9571
 4508.560  0.9725  0.9851
 4508.580  0.9677  1.0025
 4508.600  0.9505  0.9987
 4508.620  0.9275  0.9778
 4508.640  0.9084  0.9563
 4508.660  0.8972  0.9502
 4508.680  0.8909  0.9609
 4508.700  0.8869  0.9777
 4508.720  0.8887  0.9906
 4508.740  0.9018  0.9959
 4508.760  0.9231  0.9939
 4508.780  0.9415  0.9871
 4508.800  0.9494  0.9811
 4508.820  0.9487  0.9813
 4508.840  0.9468  0.9856
 4508.860  0.9491  0.9858
 4508.880  0.9534  0.9807
 4508.900  0.9529  0.9744
 4508.920  0.9457  0.9683
 4508.940  0.9383  0.9624
 4508.960  0.9391  0.9576
 4508.980  0.9487  0.9543
 4509.000  0.9596  0.9547
 4509.020  0.9648  0.9586
 4509.040  0.9640  0.9629
 4509.060  0.9604  0.9645
 4509.080  0.9562  0.9608
 4509.100  0.9526  0.9542
 4509.120  0.9512  0.9530
 4509.140  0.9532  0.9598
 4509.160  0.9598  0.9674
 4509.180  0.9718  0.9705
 4509.200  0.9864  0.9671
 4509.220  0.9988  0.9557
 4509.240  1.0046  0.9376
 4509.260  1.0006  0.9159
 4509.280  0.9843  0.8912
 4509.300  0.9589  0.8636
 4509.320  0.9357  0.8415
 4509.340  0.9271  0.8363
 4509.360  0.9374  0.8476
 4509.380  0.9573  0.8663
 4509.400  0.9712  0.8862
 4509.420  0.9707  0.9041
 4509.440  0.9599  0.9189
 4509.460  0.9512  0.9334
 4509.480  0.9528  0.9460
 4509.500  0.9613  0.9518
 4509.520  0.9695  0.9520
 4509.540  0.9753  0.9533
 4509.560  0.9804  0.9563
 4509.580  0.9867  0.9556
 4509.600  0.9920  0.9524
 4509.620  0.9904  0.9530
 4509.640  0.9800  0.9599
 4509.660  0.9661  0.9711
 4509.680  0.9566  0.9785
 4509.700  0.9557  0.9758
 4509.720  0.9606  0.9687
 4509.740  0.9634  0.9667
 4509.760  0.9595  0.9720
 4509.780  0.9521  0.9787
 4509.800  0.9451  0.9835
 4509.820  0.9357  0.9881
 4509.840  0.9174  0.9931
 4509.860  0.8899  0.9952
 4509.880  0.8631  0.9907
 4509.900  0.8501  0.9785
 4509.920  0.8557  0.9630
 4509.940  0.8753  0.9526
 4509.960  0.8993  0.9531
 4509.980  0.9213  0.9632
 4510.000  0.9408  0.9724
 4510.020  0.9587  0.9728
 4510.040  0.9720  0.9725
 4510.060  0.9753  0.9808
 4510.080  0.9657  0.9930
 4510.100  0.9483  0.9946
 4510.120  0.9346  0.9797
 4510.140  0.9328  0.9606
 4510.160  0.9435  0.9512
 4510.180  0.9598  0.9517
 4510.200  0.9732  0.9569
 4510.220  0.9778  0.9612
 4510.240  0.9713  0.9619
 4510.260  0.9576  0.9631
 4510.280  0.9454  0.9671
 4510.300  0.9427  0.9673
 4510.320  0.9501  0.9553
 4510.340  0.9617  0.9317
 4510.360  0.9692  0.9078
 4510.380  0.9680  0.8930
 4510.400  0.9595  0.8849
 4510.420  0.9509  0.8809
 4510.440  0.9487  0.8860
 4510.460  0.9542  0.9030
 4510.480  0.9641  0.9290
 4510.500  0.9742  0.9567
 4510.520  0.9797  0.9747
 4510.540  0.9771  0.9784
 4510.560  0.9679  0.9764
 4510.580  0.9588  0.9755
 4510.600  0.9577  0.9717
 4510.620  0.9674  0.9632
 4510.640  0.9796  0.9552
 4510.660  0.9813  0.9534
 4510.680  0.9667  0.9596
 4510.700  0.9431  0.9689
 4510.720  0.9258  0.9733
 4510.740  0.9254  0.9681
 4510.760  0.9381  0.9567
 4510.780  0.9521  0.9493
 4510.800  0.9614  0.9523
 4510.820  0.9674  0.9592
 4510.840  0.9723  0.9605
 4510.860  0.9735  0.9548
 4510.880  0.9658  0.9456
 4510.900  0.9489  0.9408
 4510.920  0.9300  0.9474
 4510.940  0.9171  0.9623
 4510.960  0.9127  0.9779
 4510.980  0.9150  0.9899
 4511.000  0.9214  0.9961
 4511.020  0.9311  0.9970
 4511.040  0.9422  0.9960
 4511.060  0.9474  0.9938
 4511.080  0.9413  0.9869
 4511.100  0.9303  0.9759
 4511.120  0.9264  0.9704
 4511.140  0.9361  0.9754
 4511.160  0.9540  0.9819
 4511.180  0.9659  0.9814
 4511.200  0.9642  0.9811
 4511.220  0.9578  0.9919
 4511.240  0.9557  1.0071
 4511.260  0.9519  1.0105
 4511.280  0.9358  1.0041
 4511.300  0.9138  1.0026
 4511.320  0.9060  1.0041
 4511.340  0.9153  0.9945
 4511.360  0.9270  0.9712
 4511.380  0.9403  0.9505
 4511.400  0.9597  0.9446
 4511.420  0.9737  0.9461
 4511.440  0.9745  0.9465
 4511.460  0.9710  0.9505
 4511.480  0.9699  0.9618
 4511.500  0.9678  0.9709
 4511.520  0.9639  0.9680
 4511.540  0.9622  0.9588
 4511.560  0.9660  0.9517
 4511.580  0.9703  0.9445
 4511.600  0.9647  0.9436
 4511.620  0.9520  0.9600
 4511.640  0.9523  0.9790
 4511.660  0.9721  0.9767
 4511.680  0.9917  0.9569
 4511.700  0.9946  0.9397
 4511.720  0.9847  0.9345
 4511.740  0.9715  0.9395
 4511.760  0.9609  0.9482
 4511.780  0.9550  0.9530
 4511.800  0.9541  0.9540
 4511.820  0.9567  0.9547
 4511.840  0.9619  0.9525
 4511.860  0.9695  0.9463
 4511.880  0.9768  0.9437
 4511.900  0.9752  0.9513
 4511.920  0.9596  0.9615
 4511.940  0.9393  0.9667
 4511.960  0.9341  0.9725
 4511.980  0.9532  0.9760
 4512.000  0.9759  0.9663
 4512.020  0.9757  0.9498
 4512.040  0.9582  0.9441
 4512.060  0.9473  0.9534
 4512.080  0.9487  0.9673
 4512.100  0.9506  0.9735
 4512.120  0.9448  0.9696
 4512.140  0.9334  0.9649
 4512.160  0.9232  0.9683
 4512.180  0.9191  0.9741
 4512.200  0.9210  0.9680
 4512.220  0.9255  0.9447
 4512.240  0.9310  0.9145
 4512.260  0.9386  0.8895
 4512.280  0.9489  0.8722
 4512.300  0.9583  0.8589
 4512.320  0.9618  0.8427
 4512.340  0.9585  0.8213
 4512.360  0.9520  0.8077
 4512.380  0.9482  0.8192
 4512.400  0.9507  0.8568
 4512.420  0.9590  0.9074
 4512.440  0.9691  0.9536
 4512.460  0.9737  0.9807
 4512.480  0.9682  0.9854
 4512.500  0.9571  0.9776
 4512.520  0.9510 -1.0000
 4512.540  0.9560 -1.0000
 4512.560  0.9672 -1.0000
 4512.580  0.9735 -1.0000
 4512.600  0.9691 -1.0000
 4512.620  0.9620 -1.0000
 4512.640  0.9640 -1.0000
 4512.660  0.9717 -1.0000
 4512.680  0.9696 -1.0000
 4512.700  0.9488 -1.0000
 4512.720  0.9171 -1.0000
 4512.740  0.8948 -1.0000
 4512.760  0.8956 -1.0000
 4512.780  0.9111  0.9814
 4512.800  0.9213  0.9748
 4512.820  0.9096  0.9790
 4512.840  0.8741  0.9888
 4512.860  0.8338  0.9896
 4512.880  0.8110  0.9814
 4512.900  0.8082  0.9746
 4512.920  0.8154  0.9731
 4512.940  0.8255  0.9749
 4512.960  0.8415  0.9744
 4512.980  0.8703  0.9675
 4513.000  0.9080  0.9589
 4513.020  0.9389  0.9577
 4513.040  0.9533  0.9659
 4513.060  0.9564  0.9779
 4513.080  0.9601  0.9864
 4513.100  0.9697  0.9854
 4513.120  0.9793  0.9755
 4513.140  0.9810  0.9648
 4513.160  0.9768  0.9587
 4513.180  0.9747  0.9569
 4513.200  0.9790  0.9623
 4513.220  0.9857  0.9763
 4513.240  0.9866  0.9909
 4513.260  0.9794  0.9947
 4513.280  0.9716  0.9831
 4513.300  0.9681  0.9616
 4513.320  0.9653  0.9404
 4513.340  0.9574  0.9283
 4513.360  0.9438  0.9302
 4513.380  0.9308  0.9446
 4513.400  0.9279  0.9645
 4513.420  0.9378  0.9818
 4513.440  0.9538  0.9918
 4513.460  0.9649  0.9941
 4513.480  0.9656  0.9881
 4513.500  0.9594  0.9746
 4513.520  0.9543  0.9623
 4513.540  0.9548  0.9564
 4513.560  0.9601  0.9495
 4513.580  0.9668  0.9343
 4513.600  0.9720  0.9140
 4513.620  0.9738  0.8992
 4513.640  0.9714  0.8995
 4513.660  0.9622  0.9155
 4513.680  0.9447  0.9389
 4513.700  0.9248  0.9565
 4513.720  0.9152  0.9612
 4513.740  0.9263  0.9574
 4513.760  0.9540  0.9540
 4513.780  0.9794  0.9538
 4513.800  0.9850  0.9541
 4513.820  0.9714  0.9544
 4513.840  0.9560  0.9566
 4513.860  0.9566  0.9627
 4513.880  0.9742  0.9717
 4513.900  0.9932  0.9776
 4513.920  0.9990  0.9769
 4513.940  0.9898  0.9750
 4513.960  0.9755  0.9778
 4513.980  0.9662  0.9836
 4514.000  0.9609  0.9860
 4514.020  0.9520  0.9819
 4514.040  0.9363  0.9766
 4514.060  0.9189  0.9769
 4514.080  0.9068  0.9772
 4514.100  0.9015  0.9720
 4514.120  0.8973  0.9687
 4514.140  0.8891  0.9726
 4514.160  0.8791  0.9792
 4514.180  0.8730  0.9832
 4514.200  0.8742  0.9829
 4514.220  0.8829  0.9802
 4514.240  0.8986  0.9798
 4514.260  0.9207  0.9822
 4514.280  0.9455  0.9808
 4514.300  0.9650  0.9685
 4514.320  0.9711  0.9472
 4514.340  0.9651  0.9282
 4514.360  0.9579  0.9199
