           1.0200  1.03  
           0.0200  0.6400
 4330.860  0.5064  0.9768
 4330.880  0.4646  0.9503
 4330.900  0.4253  0.9490
 4330.920  0.3889  0.9618
 4330.940  0.3564  0.9692
 4330.960  0.3303  0.9757
 4330.980  0.3103  0.9788
 4331.000  0.2941  0.9729
 4331.020  0.2834  0.9676
 4331.040  0.2824  0.9676
 4331.060  0.2907  0.9681
 4331.080  0.3040  0.9666
 4331.100  0.3234  0.9645
 4331.120  0.3522  0.9634
 4331.140  0.3909  0.9617
 4331.160  0.4400  0.9569
 4331.180  0.4994  0.9545
 4331.200  0.5654  0.9631
 4331.220  0.6332  0.9749
 4331.240  0.7011  0.9800
 4331.260  0.7646  0.9844
 4331.280  0.8165  0.9907
 4331.300  0.8592  0.9942
 4331.320  0.8981  0.9967
 4331.340  0.9315  0.9996
 4331.360  0.9570  0.9996
 4331.380  0.9734  0.9922
 4331.400  0.9835  0.9790
 4331.420  0.9909  0.9673
 4331.440  0.9936  0.9616
 4331.460  0.9924  0.9568
 4331.480  0.9910  0.9463
 4331.500  0.9902  0.9356
 4331.520  0.9900  0.9334
 4331.540  0.9888  0.9350
 4331.560  0.9853  0.9303
 4331.580  0.9810  0.9198
 4331.600  0.9774  0.9115
 4331.620  0.9732  0.9108
 4331.640  0.9666  0.9162
 4331.660  0.9583  0.9222
 4331.680  0.9518  0.9243
 4331.700  0.9500  0.9216
 4331.720  0.9513  0.9152
 4331.740  0.9549  0.9082
 4331.760  0.9621  0.9060
 4331.780  0.9683  0.9085
 4331.800  0.9709  0.9078
 4331.820  0.9731  0.8980
 4331.840  0.9748  0.8841
 4331.860  0.9771  0.8748
 4331.880  0.9808  0.8686
 4331.900  0.9837  0.8554
 4331.920  0.9869  0.8291
 4331.940  0.9903  0.7939
 4331.960  0.9907  0.7594
 4331.980  0.9911  0.7291
 4332.000  0.9918  0.6989
 4332.020  0.9861  0.6693
 4332.040  0.9774  0.6453
 4332.060  0.9737  0.6232
 4332.080  0.9700  0.6014
 4332.100  0.9594  0.5870
 4332.120  0.9435  0.5779
 4332.140  0.9285  0.5677
 4332.160  0.9192  0.5591
 4332.180  0.9142  0.5520
 4332.200  0.9112  0.5404
 4332.220  0.9106  0.5205
