           1.0000  1.0000
           0.0200  0.6500
 4352.920  0.3764  0.5262
 4352.940  0.3583  0.5163
 4352.960  0.3461  0.5110
 4352.980  0.3363  0.5115
 4353.000  0.3292  0.5169
 4353.020  0.3264  0.5260
 4353.040  0.3287  0.5380
 4353.060  0.3372  0.5521
 4353.080  0.3515  0.5646
 4353.100  0.3698  0.5672
 4353.120  0.3898  0.5552
 4353.140  0.4129  0.5347
 4353.160  0.4434  0.5135
 4353.180  0.4833  0.4902
 4353.200  0.5302  0.4619
 4353.220  0.5790  0.4304
 4353.240  0.6250  0.3985
 4353.260  0.6664  0.3687
 4353.280  0.7044  0.3435
 4353.300  0.7405  0.3233
 4353.320  0.7735  0.3065
 4353.340  0.7995  0.2930
 4353.360  0.8126  0.2859
 4353.380  0.8082  0.2892
 4353.400  0.7896  0.3015
 4353.420  0.7629  0.3157
 4353.440  0.7299  0.3247
 4353.460  0.6901  0.3291
 4353.480  0.6483  0.3403
 4353.500  0.6105  0.3672
 4353.520  0.5775  0.4041
 4353.540  0.5482  0.4396
 4353.560  0.5231  0.4743
 4353.580  0.5049  0.5179
 4353.600  0.4966  0.5714
 4353.620  0.4979  0.6258
 4353.640  0.5061  0.6768
 4353.660  0.5172  0.7279
 4353.680  0.5296  0.7831
 4353.700  0.5428  0.8369
 4353.720  0.5564  0.8783
 4353.740  0.5702  0.9057
 4353.760  0.5792  0.9215
 4353.780  0.5763  0.9282
 4353.800  0.5608  0.9292
 4353.820  0.5352  0.9238
 4353.840  0.5025  0.9090
 4353.860  0.4673  0.8865
 4353.880  0.4327  0.8603
 4353.900  0.4022  0.8298
 4353.920  0.3787  0.7909
 4353.940  0.3570  0.7435
 4353.960  0.3352  0.6963
 4353.980  0.3233  0.6611
 4354.000  0.3254  0.6362
 4354.020  0.3313  0.6115
 4354.040  0.3340  0.5866
 4354.060  0.3365  0.5636
 4354.080  0.3435  0.5378
 4354.100  0.3565  0.5062
 4354.120  0.3731  0.4697
 4354.140  0.3945  0.4303
 4354.160  0.4264  0.3916
 4354.180  0.4686  0.3593
 4354.200  0.5162  0.3389
 4354.220  0.5669  0.3281
 4354.240  0.6181  0.3194
 4354.260  0.6700  0.3116
 4354.280  0.7247  0.3061
 4354.300  0.7788  0.3036
 4354.320  0.8272  0.3068
 4354.340  0.8679  0.3160
 4354.360  0.8969  0.3270
 4354.380  0.9122  0.3372
 4354.400  0.9194  0.3483
 4354.420  0.9205  0.3647
 4354.440  0.9128  0.3894
 4354.460  0.8993  0.4234
 4354.480  0.8823  0.4655
 4354.500  0.8599  0.5120
 4354.520  0.8329  0.5573
 4354.540  0.8012  0.6008
 4354.560  0.7629  0.6473
 4354.580  0.7212  0.6984
 4354.600  0.6819  0.7487
 4354.620  0.6485  0.7939
 4354.640  0.6221  0.8339
 4354.660  0.6030  0.8692
 4354.680  0.5899  0.8988
