           0.95    0.9300
           0.0200  0.6900
 4629.320  0.9003  0.7917
 4629.340  0.8997  0.7891
 4629.360  0.8949  0.7851
 4629.380  0.8863  0.7801
 4629.400  0.8727  0.7780
 4629.420  0.8552  0.7815
 4629.440  0.8360  0.7895
 4629.460  0.8170  0.7999
 4629.480  0.7983  0.8117
 4629.500  0.7776  0.8233
 4629.520  0.7530  0.8327
 4629.540  0.7272  0.8392
 4629.560  0.7050  0.8439
 4629.580  0.6903  0.8493
 4629.600  0.6835  0.8569
 4629.620  0.6850  0.8673
 4629.640  0.6952  0.8799
 4629.660  0.7066  0.8923
 4629.680  0.7095  0.9028
 4629.700  0.7064  0.9106
 4629.720  0.7057  0.9130
 4629.740  0.7106  0.9069
 4629.760  0.7193  0.8938
 4629.780  0.7301  0.8796
 4629.800  0.7423  0.8679
 4629.820  0.7563  0.8572
 4629.840  0.7721  0.8450
 4629.860  0.7890  0.8332
 4629.880  0.8041  0.8253
 4629.900  0.8154  0.8212
 4629.920  0.8230  0.8188
 4629.940  0.8255  0.8171
 4629.960  0.8220  0.8152
 4629.980  0.8155  0.8118
 4630.000  0.8068  0.8089
 4630.020  0.7947  0.8109
 4630.040  0.7826  0.8199
 4630.060  0.7770  0.8334
 4630.080  0.7800  0.8465
 4630.100  0.7903  0.8568
 4630.120  0.8024  0.8650
 4630.140  0.8137  0.8705
 4630.160  0.8292  0.8716
 4630.180  0.8486  0.8698
 4630.200  0.8658  0.8699
 4630.220  0.8795  0.8742
 4630.240  0.8891  0.8787
 4630.260  0.8938  0.8800
 4630.280  0.8971  0.8816
 4630.300  0.9009  0.8864
 4630.320  0.9032  0.8905
 4630.340  0.9029  0.8913
 4630.360  0.9009  0.8911
 4630.380  0.9010  0.8931
 4630.400  0.9027  0.8967
 4630.420  0.9005  0.9002
 4630.440  0.8959  0.9041
 4630.460  0.8930  0.9108
 4630.480  0.8897  0.9198
 4630.500  0.8823  0.9261
 4630.520  0.8702  0.9269
 4630.540  0.8568  0.9273
 4630.560  0.8476  0.9322
 4630.580  0.8435  0.9356
 4630.600  0.8390  0.9299
 4630.620  0.8320  0.9182
 4630.640  0.8282  0.9090
 4630.660  0.8310  0.9054
 4630.680  0.8365  0.9026
 4630.700  0.8406  0.8941
 4630.720  0.8463  0.8813
 4630.740  0.8591  0.8702
 4630.760  0.8763  0.8617
 4630.780  0.8903  0.8527
 4630.800  0.8978  0.8446
 4630.820  0.9010  0.8412
 4630.840  0.9027  0.8421
 4630.860  0.9014  0.8423
 4630.880  0.8966  0.8375
 4630.900  0.8930  0.8295
 4630.920  0.8930  0.8257
 4630.940  0.8938  0.8306
 4630.960  0.8931  0.8407
 4630.980  0.8921  0.8483
 4631.000  0.8967  0.8504
 4631.020  0.9074  0.8501
 4631.040  0.9171  0.8516
 4631.060  0.9229  0.8565
 4631.080  0.9290  0.8624
 4631.100  0.9358  0.8654
 4631.120  0.9394  0.8650
 4631.140  0.9393  0.8624
 4631.160  0.9391  0.8591
 4631.180  0.9414  0.8590
 4631.200  0.9443  0.8646
 4631.220  0.9439  0.8730
 4631.240  0.9396  0.8779
 4631.260  0.9345  0.8791
 4631.280  0.9310  0.8815
 4631.300  0.9288  0.8864
 4631.320  0.9264  0.8908
 4631.340  0.9217  0.8939
 4631.360  0.9133  0.8970
 4631.380  0.9029  0.9007
 4631.400  0.8929  0.9028
 4631.420  0.8842  0.9004
 4631.440  0.8782  0.8934
 4631.460  0.8752  0.8850
 4631.480 -1.0000  0.8775
 4631.500 -1.0000  0.8704
 4631.520 -1.0000  0.8658
 4631.540 -1.0000  0.8668
 4631.560 -1.0000  0.8696
 4631.580 -1.0000  0.8678
 4631.600 -1.0000  0.8627
 4631.620 -1.0000  0.8563
 4631.640  0.8613  0.8480
 4631.660  0.8673  0.8399
 4631.680  0.8731  0.8337
 4631.700  0.8751  0.8282
 4631.720  0.8738  0.8230
 4631.740  0.8725  0.8196
 4631.760  0.8728  0.8195
 4631.780  0.8726  0.8235
 4631.800  0.8681  0.8322
 4631.820  0.8592  0.8438
 4631.840  0.8519  0.8547
 4631.860  0.8518  0.8622
 4631.880  0.8590  0.8676
 4631.900  0.8698  0.8741
