           0.9700  1.0000
           0.1500  0.0000
 4703.860  0.9134  1.0405
 4703.880  0.8986  1.0455
 4703.900  0.8793  1.0336
 4703.920  0.8711  1.0433
 4703.940  0.8860  1.0402
 4703.960  0.9136  1.0351
 4703.980  0.9341  1.0405
 4704.000  0.9420  1.0401
 4704.020  0.9432  1.0417
 4704.040  0.9405  1.0365
 4704.060  0.9335  1.0511
 4704.080  0.9268  1.0440
 4704.100  0.9256  1.0415
 4704.120  0.9261  1.0300
 4704.140  0.9214  1.0318
 4704.160  0.9124  1.0399
 4704.180  0.9035  1.0300
 4704.200  0.8925  1.0253
 4704.220  0.8771  1.0384
 4704.240  0.8600  1.0318
 4704.260  0.8450  1.0417
 4704.280  0.8364  1.0441
 4704.300  0.8353  1.0380
 4704.320  0.8373  1.0330
 4704.340  0.8399  1.0435
 4704.360  0.8442  1.0290
 4704.380  0.8525  1.0387
 4704.400  0.8655  1.0364
 4704.420  0.8756  1.0284
 4704.440  0.8719  1.0336
 4704.460  0.8556  1.0337
 4704.480  0.8395  1.0367
 4704.500  0.8327  1.0321
 4704.520  0.8313  1.0299
 4704.540  0.8289  1.0268
 4704.560  0.8273  1.0163
 4704.580  0.8258  1.0013
 4704.600  0.8231  1.0335
 4704.620  0.8256  1.0342
 4704.640  0.8369  1.0332
 4704.660  0.8497  1.0410
 4704.680  0.8578  1.0364
 4704.700  0.8631  1.0388
 4704.720  0.8708  1.0338
 4704.740  0.8807  1.0272
 4704.760  0.8903  1.0409
 4704.780  0.8990  1.0409
 4704.800  0.9045  1.0365
 4704.820  0.9007  1.0317
 4704.840  0.8861  1.0509
 4704.860  0.8646  1.0305
 4704.880  0.8427  1.0447
 4704.900  0.8308  1.0499
 4704.920  0.8343  1.0386
 4704.940  0.8468  1.0544
 4704.960  0.8593  1.0289
 4704.980  0.8712  1.0440
 4705.000  0.8899  1.0359
 4705.020  0.9128  1.0382
 4705.040  0.9228  1.0278
 4705.060  0.9105  1.0326
 4705.080  0.8810  1.0387
 4705.100  0.8414  1.0274
 4705.120  0.7978  1.0492
